Survey,10 th percentile,25 th percentile,50 th percentile,75 th percentile,90 th percentile,10th percentile,25th percentile,50th percentile,75th percentile,90th percentile,TimePeriod
4/1/2026,-7.254,0,3.71,9.524,18.182,-7.254,0,3.71,9.524,18.182,Last 12 months
5/1/2026,,,,,,,,,,,Last 12 months
6/1/2026,,,,,,,,,,,Last 12 months
7/1/2026,,,,,,,,,,,Last 12 months
8/1/2026,,,,,,,,,,,Last 12 months
9/1/2026,,,,,,,,,,,Last 12 months
10/1/2026,,,,,,,,,,,Last 12 months
11/1/2026,,,,,,,,,,,Last 12 months
12/1/2026,,,,,,,,,,,Last 12 months
1/1/2027,,,,,,,,,,,Last 12 months
2/1/2027,,,,,,,,,,,Last 12 months
3/1/2027,,,,,,,,,,,Last 12 months
4/1/2027,,,,,,1.795,3.994,4.365,6.682,10.648,Last 12 months
4/1/2023,-10.526,0,5.919,11.321,26.087,,,,,,Last 3 years
5/1/2023,-16.216,0,4.878,12.207,26.087,,,,,,Last 3 years
6/1/2023,-18.579,-4.082,4.878,10.427,19.82,,,,,,Last 3 years
7/1/2023,-10.526,.03,4.878,11.321,22.222,,,,,,Last 3 years
8/1/2023,-8.333,0,3.922,9.524,15.668,,,,,,Last 3 years
9/1/2023,-10.526,0,4.878,13.084,26.087,,,,,,Last 3 years
10/1/2023,-10.526,-2.634,3.922,8.978,15.668,,,,,,Last 3 years
11/1/2023,-16.216,-4.082,2.956,9.524,16.514,,,,,,Last 3 years
12/1/2023,-10.526,0,1.98,11.321,16.514,,,,,,Last 3 years
1/1/2024,-10.526,-2.02,2.469,9.16,18.182,,,,,,Last 3 years
2/1/2024,-10.526,-4.082,1.98,9.524,20.628,,,,,,Last 3 years
3/1/2024,-10.526,-.2,2.956,10.427,18.182,,,,,,Last 3 years
4/1/2024,-9.424,-2.02,1.98,8.612,18.182,,,,,,Last 3 years
5/1/2024,-8.333,0,2.956,9.524,18.182,,,,,,Last 3 years
6/1/2024,-12.766,0,2.956,7.229,17.685,,,,,,Last 3 years
7/1/2024,-10.526,-1.005,2.078,8.612,13.953,,,,,,Last 3 years
8/1/2024,-10.526,-3.046,1.98,7.043,18.182,,,,,,Last 3 years
9/1/2024,-10.526,0,2.176,7.692,15.668,,,,,,Last 3 years
10/1/2024,-7.684,0,3.922,9.524,21.429,,,,,,Last 3 years
11/1/2024,-10.526,-2.02,2.956,8.612,15.668,,,,,,Last 3 years
12/1/2024,-16.216,-2.02,1.98,6.763,14.04,,,,,,Last 3 years
1/1/2025,-7.792,0,3.922,6.857,12.207,,,,,,Last 3 years
2/1/2025,-9.424,-3.046,1.98,8.612,17.352,,,,,,Last 3 years
3/1/2025,-7.254,0,1.98,5.825,11.321,,,,,,Last 3 years
4/1/2025,-5.128,-.331,1.98,6.389,17.352,,,,,,Last 3 years
5/1/2025,-6.186,-1.005,3.922,8.612,13.084,,,,,,Last 3 years
6/1/2025,-6.505,0,2.956,8.612,15.668,,,,,,Last 3 years
7/1/2025,-5.276,0,3.922,9.524,18.182,,,,,,Last 3 years
8/1/2025,-5.128,0,4.018,10.427,18.182,,,,,,Last 3 years
9/1/2025,-6.079,0,2.956,7.692,15.668,,,,,,Last 3 years
10/1/2025,-4.082,0,3.536,9.069,18.182,,,,,,Last 3 years
11/1/2025,-8.333,-1.005,2.956,9.524,15.668,,,,,,Last 3 years
12/1/2025,-8.333,-1.005,2.956,6.763,15.668,,,,,,Last 3 years
1/1/2026,-8.333,-.23,2.956,7.692,13.953,,,,,,Last 3 years
2/1/2026,-6.186,0,4.878,9.524,14.815,,,,,,Last 3 years
3/1/2026,-6.186,0,2.956,9.524,13.953,,,,,,Last 3 years
4/1/2026,-7.254,0,3.71,9.524,18.182,-7.254,0,3.71,9.524,18.182,Last 3 years
5/1/2026,,,,,,,,,,,Last 3 years
6/1/2026,,,,,,,,,,,Last 3 years
7/1/2026,,,,,,,,,,,Last 3 years
8/1/2026,,,,,,,,,,,Last 3 years
9/1/2026,,,,,,,,,,,Last 3 years
10/1/2026,,,,,,,,,,,Last 3 years
11/1/2026,,,,,,,,,,,Last 3 years
12/1/2026,,,,,,,,,,,Last 3 years
1/1/2027,,,,,,,,,,,Last 3 years
2/1/2027,,,,,,,,,,,Last 3 years
3/1/2027,,,,,,,,,,,Last 3 years
4/1/2027,,,,,,1.795,3.994,4.365,6.682,10.648,Last 3 years
4/1/2021,-11.64,0,6.389,15.668,26.087,,,,,,Last 5 years
